observation_key,review_id,case_id,model,policy,repetition,slot,index,physical_fragment_id,artifact_directory,fragment_offset,local_index,scheduled_index,category,scenario_id,answerability,authorized,memory_need,status,failure,error,request_s,cold_first_request,authorization_s,selection_s,selector_calls,selector_call_s,selection_source,retrieval_selected,selection_decision,selection_resolved,selection_unresolved,retrieval_attempts,unnecessary_retrievals,authorization_violations,retrieval_s,shared_intent_s,response_evidence_linking_s,generation_s,validation_s,loading_s,prefill_s,decode_s,backend_total_s,prompt_tokens,output_tokens,relevant_count,relevant_retrieved,relevant_supplied,retrieved_coverage,supplied_coverage,complete_relevant_retrieved,complete_relevant_supplied,inspected_count,irrelevant_inspected,source_candidate_count,irrelevant_source_candidates,retrieved_count,irrelevant_retrieved,supplied_count,irrelevant_supplied,inspected_ids,supplied_ids,helper_constraint,helper_speech_enum,response_transform,answer,residual_request_s,label,unsupported_claim,unsupported_personal_claim,abstained,explicit_conflict,forbidden_disclosure,task_success,known_fact_cautious_miss,posthoc_known_answer_without_supplied_evidence
slot_01:ir_04_04,review_4fd4c197ca1a5357cebd034d68ced20c,ir_04_04,qwen3:0.6b,OFF,1,1,14,fragment_01,/home/b2jetson/convo_hri_cascading/submodules/Oline_HRI/evaluation/independent_retrieval_20260913/run_v1/session_01,0,14,14,general_no_memory,ir_scenario_04,self_contained_general,True,False,ok,False,,1.301874596,False,0.011493727,0.009634301,0,0.0,policy_off,False,False,True,False,0,0,0,0.0,0.016392659,0.013921864,1.185641399,0.005312881,0.00265996,0.074851,1.008712,1.101063616,351,37,0,0,0,,,,,0,0,0,0,0,0,0,0,[],[],,False,,A windscreen is used to protect the microphone from wind and dust.,0.059477764999999794,partial,False,False,False,False,False,False,False,False
slot_01:ir_06_04,review_30a7c36665d83a76c036a9fc6685bfd2,ir_06_04,qwen3:0.6b,OFF,1,1,15,fragment_01,/home/b2jetson/convo_hri_cascading/submodules/Oline_HRI/evaluation/independent_retrieval_20260913/run_v1/session_01,0,15,15,general_no_memory,ir_scenario_06,self_contained_general,True,False,ok,False,,1.640231684,False,0.027351276,0.013245112,0,0.0,policy_off,False,False,True,False,0,0,0,0.0,0.01113783,0.011091395,1.501378077,0.006272755,0.002449674,0.029576,1.378433,1.422213415,356,50,0,0,0,,,,,0,0,0,0,0,0,0,0,[],[],,False,,Baked biscuits cool before putting them in a closed tin to prevent them from over-browning and to ensure they are fully cooked and ready to be served.,0.06975523900000002,incorrect,True,False,False,False,False,False,False,False
slot_01:ir_05_06,review_c9b758088f26ca0bd964fed1b7d2f07a,ir_05_06,qwen3:0.6b,OFF,1,1,16,fragment_01,/home/b2jetson/convo_hri_cascading/submodules/Oline_HRI/evaluation/independent_retrieval_20260913/run_v1/session_01,0,16,16,lifecycle_or_authorization,ir_scenario_05,unavailable_lifecycle,True,True,ok,False,,1.151589495,False,0.008619349,0.01173899,0,0.0,policy_off,False,False,True,False,0,0,0,0.0,0.009349064,0.009482225,1.061404976,0.004975224,0.003313765,0.04639,0.874978,0.979423873,250,33,0,0,0,,,,,0,0,0,0,0,0,0,0,[],[],,False,,I do not have a verified personal memory that answers that.,0.04601966700000015,appropriate_abstention,False,False,True,False,False,True,False,False
slot_01:ir_03_01,review_39c91d4bf9e410665d1b23b49267eb05,ir_03_01,qwen3:0.6b,OFF,1,1,17,fragment_01,/home/b2jetson/convo_hri_cascading/submodules/Oline_HRI/evaluation/independent_retrieval_20260913/run_v1/session_01,0,17,17,direct_personal_recall,ir_scenario_03,known_authorized,True,True,ok,False,,1.44912331,False,0.013876928,0.010622463,0,0.0,policy_off,False,False,True,False,0,0,0,0.0,0.010385903,0.010196673,1.348433366,0.005380564,0.001528778,0.032872,1.223558,1.267871377,246,43,1,0,0,0.0,0.0,False,False,0,0,0,0,0,0,0,0,[],[],,False,,I do not have a verified personal memory that answers that.,0.050227413,inappropriate_abstention,False,False,True,False,False,False,True,False
slot_01:ir_02_01,review_a5fecd788364c1eda40c7a2762a8543c,ir_02_01,qwen3:0.6b,OFF,1,1,18,fragment_01,/home/b2jetson/convo_hri_cascading/submodules/Oline_HRI/evaluation/independent_retrieval_20260913/run_v1/session_01,0,18,18,direct_personal_recall,ir_scenario_02,known_authorized,True,True,ok,False,,1.450398199,False,0.00841079,0.011238249,0,0.0,policy_off,False,False,True,False,0,0,0,0.0,0.013564906,0.01111216,1.352110863,0.005142787,0.00171871,0.027939,1.245118,1.286021596,248,45,1,0,0,0.0,0.0,False,False,0,0,0,0,0,0,0,0,[],[],,False,,I do not have a verified personal memory that answers that.,0.048818443999999905,inappropriate_abstention,False,False,True,False,False,False,True,False
slot_01:ir_02_02,review_15e05385600b5ed1d1989cf8f0b9e483,ir_02_02,qwen3:0.6b,OFF,1,1,19,fragment_01,/home/b2jetson/convo_hri_cascading/submodules/Oline_HRI/evaluation/independent_retrieval_20260913/run_v1/session_01,0,19,19,paraphrased_personal_recall,ir_scenario_02,known_authorized,True,True,ok,False,,1.290958196,False,0.00895889,0.009961648,0,0.0,policy_off,False,False,True,False,0,0,0,0.0,0.009212028,0.009798116,1.201523868,0.005679271,0.001832446,0.029654,1.082968,1.123437907,252,40,1,0,0,0.0,0.0,False,False,0,0,0,0,0,0,0,0,[],[],,False,,I do not have a verified personal memory that answers that.,0.04582437500000003,inappropriate_abstention,False,False,True,False,False,False,True,False
slot_01:ir_06_02,review_aefc2d2b8dc34a0f90c1757b4328c415,ir_06_02,qwen3:0.6b,OFF,1,1,20,fragment_01,/home/b2jetson/convo_hri_cascading/submodules/Oline_HRI/evaluation/independent_retrieval_20260913/run_v1/session_01,0,20,20,paraphrased_personal_recall,ir_scenario_06,known_authorized,True,True,ok,False,,1.284027867,False,0.011542172,0.010891726,0,0.0,policy_off,False,False,True,False,0,0,0,0.0,0.012043998,0.011472279,1.185449845,0.00479569,0.001618191,0.035162,1.052967,1.101246412,249,39,1,0,0,0.0,0.0,False,False,0,0,0,0,0,0,0,0,[],[],,False,,I do not have a verified personal memory that answers that.,0.04783215700000021,inappropriate_abstention,False,False,True,False,False,False,True,False
slot_01:ir_04_05,review_636b324afed92f7b3c37e7d5da1d7b97,ir_04_05,qwen3:0.6b,OFF,1,1,21,fragment_01,/home/b2jetson/convo_hri_cascading/submodules/Oline_HRI/evaluation/independent_retrieval_20260913/run_v1/session_01,0,21,21,unknown_or_conflicting,ir_scenario_04,unknown,True,True,ok,False,,1.098693269,False,0.009561457,0.008555052,0,0.0,policy_off,False,False,True,False,0,0,0,0.0,0.008787069,0.008018408,1.00810128,0.005746955,0.00183411,0.02842,0.887243,0.928123784,245,34,0,0,0,,,,,0,0,0,0,0,0,0,0,[],[],,False,,I do not have a verified personal memory that answers that.,0.049923047999999914,appropriate_abstention,False,False,True,False,False,True,False,False
slot_01:ir_01_02,review_4f09db5d5508ef5a9e913e5915f20ed8,ir_01_02,qwen3:0.6b,OFF,1,1,22,fragment_01,/home/b2jetson/convo_hri_cascading/submodules/Oline_HRI/evaluation/independent_retrieval_20260913/run_v1/session_01,0,22,22,paraphrased_personal_recall,ir_scenario_01,known_authorized,True,True,ok,False,,1.273161211,False,0.009129523,0.009717019,0,0.0,policy_off,False,False,True,False,0,0,0,0.0,0.009874566,0.009649687,1.188684594,0.005874291,0.002470986,0.076159,1.008016,1.100937129,355,37,1,0,0,0.0,0.0,False,False,0,0,0,0,0,0,0,0,[],[],,False,,I chose the name 'Flattened Leaves' for your collection.,0.040231530999999876,incorrect,True,True,False,False,False,False,False,False
slot_01:ir_01_05,review_d7e4fa877655cb79aa50e68efc1d09d6,ir_01_05,qwen3:0.6b,OFF,1,1,23,fragment_01,/home/b2jetson/convo_hri_cascading/submodules/Oline_HRI/evaluation/independent_retrieval_20260913/run_v1/session_01,0,23,23,unknown_or_conflicting,ir_scenario_01,unknown,True,True,ok,False,,1.429943103,False,0.015192211,0.012638819,0,0.0,policy_off,False,False,True,False,0,0,0,0.0,0.015830046,0.009896135,1.313781215,0.007627019,0.002072846,0.046167,1.116445,1.220372664,252,41,0,0,0,,,,,0,0,0,0,0,0,0,0,[],[],,False,,I do not have a verified personal memory that answers that.,0.054977658000000096,appropriate_abstention,False,False,True,False,False,True,False,False
slot_01:ir_02_04,review_121dae3f57a4cd0d9faa9a2d9229b912,ir_02_04,qwen3:0.6b,OFF,1,1,24,fragment_01,/home/b2jetson/convo_hri_cascading/submodules/Oline_HRI/evaluation/independent_retrieval_20260913/run_v1/session_01,0,24,24,general_no_memory,ir_scenario_02,self_contained_general,True,False,ok,False,,1.320920725,False,0.011686849,0.009604146,0,0.0,policy_off,False,False,True,False,0,0,0,0.0,0.012417939,0.010119862,1.230415934,0.005814093,0.002403204,0.07831,1.05451,1.14717126,359,39,0,0,0,,,,,0,0,0,0,0,0,0,0,[],[],,False,,"Use a thin strip of tape to cover the tear, then gently press it in to secure it.",0.04086190200000006,complete,False,False,False,False,False,True,False,False
slot_01:ir_02_06,review_24d97e1c1834fb4da1435d7a7fa75425,ir_02_06,qwen3:0.6b,OFF,1,1,25,fragment_01,/home/b2jetson/convo_hri_cascading/submodules/Oline_HRI/evaluation/independent_retrieval_20260913/run_v1/session_01,0,25,25,lifecycle_or_authorization,ir_scenario_02,known_authorized,True,True,ok,False,,1.285407194,False,0.009624626,0.010820868,0,0.0,policy_off,False,False,True,False,0,0,0,0.0,0.009461223,0.012808684,1.184469733,0.00654832,0.002492683,0.047732,1.002377,1.100055802,248,37,1,0,0,0.0,0.0,False,False,0,0,0,0,0,0,0,0,[],[],,False,,I do not have a verified personal memory that answers that.,0.051673740000000024,inappropriate_abstention,False,False,True,False,False,False,True,False
slot_01:ir_08_03,review_dca3184bbdfc562f9d74431be8163388,ir_08_03,qwen3:0.6b,OFF,1,1,26,fragment_01,/home/b2jetson/convo_hri_cascading/submodules/Oline_HRI/evaluation/independent_retrieval_20260913/run_v1/session_01,0,26,26,multi_fact_personal,ir_scenario_08,known_authorized,True,True,ok,False,,1.400556917,False,0.011120855,0.010807938,0,0.0,policy_off,False,False,True,False,0,0,0,0.0,0.014387254,0.009505065,1.297364366,0.005339084,0.002295261,0.035905,1.163721,1.2144051,257,43,2,0,0,0.0,0.0,False,False,0,0,0,0,0,0,0,0,[],[],,False,,I do not have a verified personal memory that answers that.,0.05203235499999992,inappropriate_abstention,False,False,True,False,False,False,True,False
slot_01:ir_03_05,review_7ccae282be0247a50651791d0d4b076f,ir_03_05,qwen3:0.6b,OFF,1,1,27,fragment_01,/home/b2jetson/convo_hri_cascading/submodules/Oline_HRI/evaluation/independent_retrieval_20260913/run_v1/session_01,0,27,27,unknown_or_conflicting,ir_scenario_03,unknown,True,True,ok,False,,1.654709993,False,0.010218616,0.013480663,0,0.0,policy_off,False,False,True,False,0,0,0,0.0,0.010586801,0.010087536,1.552959987,0.006115712,0.00182486,0.039237,1.410799,1.46339366,249,51,0,0,0,,,,,0,0,0,0,0,0,0,0,[],[],,False,,I do not have a verified personal memory that answers that.,0.051260678000000226,appropriate_abstention,False,False,True,False,False,True,False,False
slot_01:ir_06_01,review_5e4bcb4bf1d837f5008dd49f6f588639,ir_06_01,qwen3:0.6b,OFF,1,1,28,fragment_01,/home/b2jetson/convo_hri_cascading/submodules/Oline_HRI/evaluation/independent_retrieval_20260913/run_v1/session_01,0,28,28,direct_personal_recall,ir_scenario_06,known_authorized,True,True,ok,False,,1.081532209,False,0.009229045,0.010706969,0,0.0,policy_off,False,False,True,False,0,0,0,0.0,0.010993901,0.010194102,0.986432232,0.004808999,0.002552814,0.028995,0.867533,0.909753828,246,32,1,0,0,0.0,0.0,False,False,0,0,0,0,0,0,0,0,[],[],,False,,I do not have a verified personal memory that answers that.,0.049166961000000065,inappropriate_abstention,False,False,True,False,False,False,True,False
slot_01:ir_04_06,review_c83de1a5160e68e2eadda959fb968bbc,ir_04_06,qwen3:0.6b,OFF,1,1,29,fragment_01,/home/b2jetson/convo_hri_cascading/submodules/Oline_HRI/evaluation/independent_retrieval_20260913/run_v1/session_01,0,29,29,lifecycle_or_authorization,ir_scenario_04,unavailable_lifecycle,True,True,ok,False,,1.109934499,False,0.013619966,0.009048264,0,0.0,policy_off,False,False,True,False,0,0,0,0.0,0.009498502,0.013100284,1.008606969,0.006847762,0.002102223,0.029307,0.87618,0.918712153,247,33,0,0,0,,,,,0,0,0,0,0,0,0,0,[],[],,False,,I do not have a verified personal memory that answers that.,0.04921275200000008,appropriate_abstention,False,False,True,False,False,True,False,False
slot_01:ir_08_01,review_9addeaf429bdb77d4fce63b892e8f1fd,ir_08_01,qwen3:0.6b,OFF,1,1,30,fragment_01,/home/b2jetson/convo_hri_cascading/submodules/Oline_HRI/evaluation/independent_retrieval_20260913/run_v1/session_01,0,30,30,direct_personal_recall,ir_scenario_08,known_authorized,True,True,ok,False,,1.062617498,False,0.009667185,0.009478147,0,0.0,policy_off,False,False,True,False,0,0,0,0.0,0.009478244,0.009440129,0.972894222,0.00466006,0.001623374,0.029911,0.861883,0.903911493,248,32,1,0,0,0.0,0.0,False,False,0,0,0,0,0,0,0,0,[],[],,False,,I do not have a verified personal memory that answers that.,0.046999511000000105,inappropriate_abstention,False,False,True,False,False,False,True,False
slot_01:ir_05_03,review_ef54c9d11104e13dd4da09682ef6ea2a,ir_05_03,qwen3:0.6b,OFF,1,1,31,fragment_01,/home/b2jetson/convo_hri_cascading/submodules/Oline_HRI/evaluation/independent_retrieval_20260913/run_v1/session_01,0,31,31,multi_fact_personal,ir_scenario_05,known_authorized,True,True,ok,False,,2.063752658,False,0.01221958,0.010736184,0,0.0,policy_off,False,False,True,False,0,0,0,0.0,0.011547055,0.009219281,1.964065551,0.007104481,0.001674705,0.032959,1.837286,1.883879511,260,66,2,0,0,0.0,0.0,False,False,0,0,0,0,0,0,0,0,[],[],,False,,I do not have a verified personal memory that answers that.,0.048860525999999904,inappropriate_abstention,False,False,True,False,False,False,True,False
slot_01:ir_02_05,review_9ce8e9d3e748c85cc8e6f9f648388257,ir_02_05,qwen3:0.6b,OFF,1,1,32,fragment_01,/home/b2jetson/convo_hri_cascading/submodules/Oline_HRI/evaluation/independent_retrieval_20260913/run_v1/session_01,0,32,32,unknown_or_conflicting,ir_scenario_02,unknown,True,True,ok,False,,1.476161962,False,0.007997245,0.008804659,0,0.0,policy_off,False,False,True,False,0,0,0,0.0,0.009684303,0.009084103,1.392190106,0.004885963,0.001736822,0.032771,1.265041,1.310513639,245,45,0,0,0,,,,,0,0,0,0,0,0,0,0,[],[],,False,,I do not have a verified personal memory that answers that.,0.043515583000000024,appropriate_abstention,False,False,True,False,False,True,False,False
slot_01:ir_07_06,review_9a5802cee794f2ef4f0da754645a4b13,ir_07_06,qwen3:0.6b,OFF,1,1,33,fragment_01,/home/b2jetson/convo_hri_cascading/submodules/Oline_HRI/evaluation/independent_retrieval_20260913/run_v1/session_01,0,33,33,lifecycle_or_authorization,ir_scenario_07,unauthorized,False,False,ok,False,,1.451750466,False,0.011962088,0.010365341,0,0.0,authorization_denied,False,,False,False,0,0,0,0.0,0.012765279,0.009457471,1.348627501,0.007071645,0.001896832,0.02595,1.221764,1.261469296,247,45,0,0,0,,,,,0,0,0,0,0,0,0,0,[],[],,False,,I do not have a verified personal memory that answers that.,0.05150114100000014,appropriate_abstention,False,False,True,False,False,True,False,False
slot_01:ir_01_06,review_f295ef43e04e22a5dfd6e890594f12d4,ir_01_06,qwen3:0.6b,OFF,1,1,34,fragment_01,/home/b2jetson/convo_hri_cascading/submodules/Oline_HRI/evaluation/independent_retrieval_20260913/run_v1/session_01,0,34,34,lifecycle_or_authorization,ir_scenario_01,known_authorized,True,True,ok,False,,2.006336352,False,0.009678829,0.010484195,0,0.0,policy_off,False,False,True,False,0,0,0,0.0,0.009184523,0.009366584,1.917095649,0.005437998,0.001533223,0.029531,1.797101,1.837407144,249,63,1,0,0,0.0,0.0,False,False,0,0,0,0,0,0,0,0,[],[],,False,,I do not have a verified personal memory that answers that.,0.04508857399999977,inappropriate_abstention,False,False,True,False,False,False,True,False
slot_01:ir_01_04,review_be3b0e512d3a8c2e0c6b3fa32ee83b58,ir_01_04,qwen3:0.6b,OFF,1,1,35,fragment_01,/home/b2jetson/convo_hri_cascading/submodules/Oline_HRI/evaluation/independent_retrieval_20260913/run_v1/session_01,0,35,35,general_no_memory,ir_scenario_01,self_contained_general,True,False,ok,False,,1.669900718,False,0.010889405,0.011164784,0,0.0,policy_off,False,False,True,False,0,0,0,0.0,0.009992833,0.011842429,1.526945985,0.006003316,0.002603727,0.071957,1.35582,1.444258471,355,49,0,0,0,,,,,0,0,0,0,0,0,0,0,[],[],,False,,The purpose of pressing a leaf between absorbent paper is to create a barrier that helps the leaf retain moisture and reduce water loss.,0.09306196600000005,incorrect,True,False,False,False,False,False,False,False
slot_01:ir_06_03,review_b8f83edfbfae74a57c3bb9f3aea8610e,ir_06_03,qwen3:0.6b,OFF,1,1,36,fragment_01,/home/b2jetson/convo_hri_cascading/submodules/Oline_HRI/evaluation/independent_retrieval_20260913/run_v1/session_01,0,36,36,multi_fact_personal,ir_scenario_06,known_authorized,True,True,ok,False,,1.553749422,False,0.01027157,0.009445274,0,0.0,policy_off,False,False,True,False,0,0,0,0.0,0.009705036,0.008265036,1.460094362,0.008369234,0.002493031,0.042667,1.280611,1.371877397,257,46,2,0,0,0.0,0.0,False,False,0,0,0,0,0,0,0,0,[],[],,False,,I do not have a verified personal memory that answers that.,0.04759891000000027,inappropriate_abstention,False,False,True,False,False,False,True,False
